16" Ноутбук ASUS ProArt StudioBook PRO 16 OLED W7600H3A-L2031X черный [3840x2400, OLED, Intel Xeon W-11955M, 8 ядер х 2.6 ГГц, RAM 64 ГБ, SSD 4000 ГБ, RTX A3000 6 ГБ, Windows 11 Pro]
15.6" Ноутбук ASUS ROG Zephyrus DUO 15 SE GX551QS-HB240T черный [Ultra HD 4K (3840x2160), IPS, AMD Ryzen 9 5980HS, 8 ядер х 3 ГГц, RAM 32 ГБ, SSD 2000 ГБ, GeForce RTX 3080 для ноутбуков 16 ГБ, Windows 10 Home]
17.3" Ноутбук MSI GE76 Raider 12UHS-600RU синий [Full HD (1920x1080), IPS, Intel Core i9 12900HK, 6 ядер, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3080 Ti для ноутбуков 16 ГБ, Windows 11 Home]
16.2" Ноутбук Apple MacBook Pro серебристый [3456x2234, mini-LED, Apple M1 Max, 10 ядер, RAM 32 ГБ, SSD 512 ГБ, Apple M1 Max 32-Core , macOS]
13.4" Ноутбук ASUS ROG Flow X13 GV301QC-K6029T черный [1920x1200, IPS, AMD Ryzen 9 5980HS, 8 х 3.0 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3050 + RTX 3080, Wi-Fi, Windows 10 Home]
16" Ноутбук Lenovo Legion 7 16ITHg6 серый [2560x1600, IPS, Intel Core i9 11980HK, 8 ядер х 3.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 16 ГБ, без ОС]
15.6" Ноутбук Alienware x15 R1 белый [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 512 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, Windows 10 Home]
14.2" Ноутбук Apple MacBook Pro серебристый [3024x1964, mini-LED, Apple M1 Max, 10 ядер, RAM 32 ГБ, SSD 1024 ГБ, Apple M1 Max 24‑core , macOS]
16.2" Ноутбук Apple MacBook Pro серебристый [3456x2234, mini-LED, Apple M1 Max, 10 ядер, RAM 32 ГБ, SSD 512 ГБ, Apple M1 Max 24‑core , macOS]
16.2" Ноутбук Apple MacBook Pro серый [3456x2234, mini-LED, Apple M1 Max, 10 ядер, RAM 32 ГБ, SSD 512 ГБ, Apple M1 Max 24‑core , macOS]
13.4" Ноутбук ASUS ROG Flow X13 GV301QC-K50066T черный [3840x2400, IPS, AMD Ryzen 9 5980HS, 8 ядер х 3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3050 для ноутбуков 4 ГБ, Windows 10 Home]
15.6" Ноутбук Alienware x15 R1 белый [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 512 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук MSI GS66 11UH-263RU черный [Quad HD 2K (2560x1440), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 2000 ГБ, GeForce RTX 3080 для ноутбуков 16 ГБ, Windows 10 Home]
16.2" Ноутбук Apple MacBook Pro серебристый [3456x2234, mini-LED, Apple M1 Pro, 10 ядер, RAM 32 ГБ, SSD 512 ГБ, Apple M1 Pro 16-Core , macOS]
16.2" Ноутбук Apple MacBook Pro серый [3456x2234, mini-LED, Apple M1 Pro, 10 ядер, RAM 32 ГБ, SSD 512 ГБ, Apple M1 Pro 16-Core , macOS]
15.6" Ноутбук Alienware x15 R1 белый [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук ASUS ZenBook PRO DUO 15 OLED UX582LR-H2006T синий [Ultra HD 4K (3840x2160), OLED, Intel Core i9 10980HK, 8 ядер х 2.4 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3070 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук MSI GE66 Raider 11UH-283RU синий [Quad HD 2K (2560x1440), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 2000 ГБ, GeForce RTX 3080 для ноутбуков 16 ГБ, Windows 10 Home]
15.6" Ноутбук Alienware x15 R1 белый [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 8 ГБ, Windows 10 Home]
15.6" Ноутбук Gigabyte Aorus 15P YD черный [Full HD (1920x1080), IPS, Intel Core i7 11800H, 8 ядер х 2.3 ГГц, RAM 32 ГБ, SSD 1000 ГБ, GeForce RTX 3080 для ноутбуков 16 ГБ, Windows 10 Home]
17.3" Ноутбук MSI GE76 Raider 12UGS-415RU синий [Full HD (1920x1080), IPS, Intel Core i7 12700H, 6 ядер, RAM 32 ГБ, SSD 2000 ГБ, GeForce RTX 3070 Ti для ноутбуков 8 ГБ, Windows 11 Home]
